texto,rotulo_masculino,rotulo_feminino
word436 word41 word232 word101 word342 word391 word482 word178 word150 word155 word381 word223 word12 word474 word53 word465 word81 word270 word157 word344 word202 word184 word239 word486 word123 word110 word34 word370 word339 word305 word12 word396 word405 word473 word465 word132 word356 word202 word298 word167 word329 word477 word327 word461 word466 word60 word483 word410 word214 word301 word309 word394 word402 word52 word1 word124 word264 word425 word327 word68 word359 word235 word185 word386 word148 word310 word92 word191 word279 word312 word460 word146 word448 word409 word180 word71 word129 word329 word395 word307,neutra,neutra
word305 word334 word94 word372 word496 word163 word465 word465 word210 word398 word467 word426 word195 word334 word297 word207 word320 word468 word14 word451 word185 word415 word54 word446 word225 word459 word214 word374 word299 word101 word125 word270 word244 word308 word404 word387 word30 word248 word75 word257 word268 word498 word195 word227 word256 word66 word30 word355 word151 word182 word497 word125 word453 word315,positiva,positiva
word103 word242 word461 word478 word222 word42 word144 word308 word169 word360 word497 word311 word313 word265 word94 word290 word466 word345 word377 word432 word194 word169 word485 word230 word367 word318 word62 word158 word164 word90 word390 word484 word484 word98 word225 word117 word32 word310 word430 word39 word321 word18 word422 word33 word218 word62 word207 word215 word270 word415 word499 word171 word462 word214 word60 word301 word362 word152 word295 word217 word73 word194 word214 word171 word458 word195 word314 word6 word157 word444 word447 word489 word29 word432 word134 word3 word47 word376 word296 word287 word441 word48 word42 word467 word304,neutra,neutra
word469 word443 word442 word453 word284 word411 word318 word69 word13 word49 word173 word250 word320 word261 word184 word367 word431 word112 word131 word466 word486 word155 word255 word289 word318 word433 word53 word262 word109 word377 word299 word375 word453 word396 word428 word406 word313 word197 word169 word182 word304 word402 word184 word290 word207 word304 word410 word206 word199 word101 word250 word229 word81 word485 word430 word146 word473 word137 word210 word66 word307 word241 word134 word145 word468 word344 word77 word68 word36 word124 word370 word31 word125 word21 word325 word408 word265 word453 word345 word382 word157 word433 word316 word44 word42,positiva,positiva
word116 word108 word414 word292 word27 word178 word493 word319 word435 word274 word22 word90 word47 word368 word379 word229 word363 word276 word370 word337 word228 word327 word160 word375 word457 word104 word334 word56 word189 word335 word139 word118 word192 word58 word313 word66 word167 word157 word484 word496 word40 word79 word367 word150 word323 word461 word82 word482 word27 word115 word254 word441 word277 word70 word125 word381 word281 word7 word251 word204 word1 word124 word468 word353 word36 word9 word173 word233 word227 word349 word87 word24 word337,neutra,neutra
word397 word201 word499 word3 word252 word154 word493 word335 word386 word146 word448 word421 word393 word239 word461 word335 word33 word442 word11 word342 word125 word449 word365 word405 word350 word284 word432,neutra,neutra
word322 word450 word10 word19 word322 word15 word320 word246 word228 word304 word448 word64 word68 word349 word26 word215 word248 word196 word267 word57 word134 word3 word481 word416 word127 word19 word136 word479 word406 word330 word462 word89 word269 word397 word10 word218 word178 word89,positiva,positiva
word48 word298 word175 word186 word477 word303 word308 word176 word191 word343 word20 word119 word301 word312 word47 word394 word272 word119 word376 word496 word212 word142 word150 word297 word24 word242 word13 word20 word216 word373 word442 word44 word123 word211 word288 word494 word343 word270 word31 word41 word77 word331 word166 word121 word336 word408 word220 word441 word368 word359 word434 word92 word380 word479 word497 word290 word378 word445 word427 word449 word417 word191 word366 word206 word401 word406 word468 word295 word238 word83 word320 word284 word258 word339 word426 word75 word216 word362 word410 word390 word400,negativa,negativa
word377 word477 word191 word116 word467 word341 word439 word190 word175 word63 word387 word423 word410 word146 word245 word247 word61 word1 word168 word256 word495 word437 word358 word482 word388 word264 word456 word460 word102 word142 word485 word3 word260 word192 word373 word480 word160 word111 word165 word358 word180 word322 word175 word371 word32 word172 word155 word299 word324 word364 word451 word399 word21 word339,positiva,positiva
word141 word239 word318 word147 word2 word419 word364 word62 word189 word131 word489 word471 word346 word221 word27 word124 word47 word395 word45 word339 word477 word154 word343 word440 word214 word225 word101 word214 word437 word332 word101 word264 word354 word39 word382 word101 word148 word209 word253 word459 word112 word128 word190 word429 word483 word228 word347 word459 word424 word341 word271 word493 word120 word182 word357 word11 word251 word428 word89 word402 word207 word431 word318 word79 word368 word29 word122 word445 word438 word24 word190 word48 word136 word484,negativa,negativa
word328 word496 word499 word156 word338 word277 word106 word254 word69 word61 word179 word131 word73 word26 word285 word3 word392 word37 word330 word75 word309 word72 word218 word330 word87 word67 word319 word321 word210 word62 word153 word109 word330 word151 word190 word131 word85 word406 word242 word286 word145 word44 word367 word362 word24 word444 word427 word425 word231 word347 word8 word300 word67 word455,positiva,positiva
word115 word125 word322 word286 word475 word209 word142 word25 word4 word187 word463 word262 word447 word51 word47 word417 word54 word26 word203 word463 word345 word50 word419 word422 word401 word452 word120 word490 word161 word402 word290 word390 word314 word322 word309 word390 word370 word68 word414,negativa,negativa
word49 word159 word134 word218 word252 word359 word216 word76 word273 word28 word425 word386 word113 word132 word14 word183 word20 word469 word68 word330 word286 word119 word405 word55 word444 word371 word318 word440 word202 word141 word78 word463 word201 word415 word167 word478 word436 word155 word244 word397 word114 word12 word145 word296 word69 word167 word460 word38 word26 word212 word7 word14 word92 word52 word406 word62 word262 word353 word313 word327 word179 word445 word35 word54 word429 word35,negativa,negativa
word352 word328 word353 word497 word113 word223 word246 word75 word332 word25 word449 word45 word56 word87 word447 word431 word462 word417 word462 word236 word3 word220 word111 word123 word346 word84 word161 word197 word31 word351 word382 word280 word15 word394 word224 word134 word474 word430 word221 word222 word456 word96 word205 word286,neutra,neutra
word230 word328 word41 word498 word189 word8 word330 word279 word321 word376 word238 word414 word186 word273 word80 word310 word131 word349 word401 word430 word465 word62 word69 word464 word191 word14 word144 word419,negativa,negativa
word397 word299 word257 word208 word240 word319 word32 word294 word111 word394 word98 word36 word218 word221 word260 word431 word350 word182 word364 word252 word112 word11 word2 word113 word410 word232 word226 word200 word128 word358 word7 word306 word469 word441 word185 word428 word119 word121 word172,positiva,positiva
word461 word69 word158 word135 word85 word324 word4 word193 word61 word308 word376 word234 word223 word225 word100 word188 word467 word21 word394 word83 word58 word143 word135 word159 word425 word453 word347 word74 word473 word424 word39 word194 word388 word45 word39 word303 word169 word221 word376 word273 word356 word64 word2 word126 word101 word163 word390 word76 word64 word101 word164 word99 word92 word290 word56 word77 word419 word10 word31 word35 word269 word348 word347 word346 word29 word173 word317 word342 word168 word424 word417 word383 word399 word488,positiva,positiva
word266 word280 word151 word150 word315 word376 word195 word74 word394 word87 word2 word162 word410 word379 word154 word260 word480 word360 word380 word44 word121 word53 word490 word172 word250 word276 word262 word27 word455 word191 word460,neutra,neutra
word369 word327 word379 word322 word185 word185 word299 word237 word171 word245 word269 word120 word320 word158 word134 word210 word52 word302 word367 word478 word142 word270 word252,negativa,negativa
word483 word414 word424 word29 word66 word150 word381 word40 word42 word16 word96 word460 word361 word359 word147 word313 word390 word267 word429 word285 word163 word320 word472 word414 word250 word299 word488 word375 word252 word141 word453 word489 word36 word16 word58 word194 word80 word442 word458 word91 word415 word71 word394 word183 word21 word215 word412 word467 word61 word419 word147,negativa,negativa
word368 word445 word455 word128 word7 word330 word230 word11 word136 word496 word182 word131 word328 word333 word167 word425 word291 word81 word163 word424 word45 word7 word329 word221 word127 word237 word92 word188 word117 word294 word337 word458 word34 word164 word133 word290 word267 word439 word460 word387 word100 word21 word450 word472 word126 word24 word341 word295 word445 word288 word381 word394 word5 word75 word391 word90 word104 word377 word103 word75 word7 word235 word319 word366 word453 word326 word379 word106 word171 word152 word33 word485 word121 word225 word179 word23 word452 word110 word51 word172 word72 word500 word95 word152 word136 word14 word7 word257 word117 word42 word146 word138 word213 word497 word154 word353 word385 word26,negativa,negativa
word125 word421 word62 word331 word460 word406 word380 word329 word473 word433 word138 word313 word215 word133 word410 word21 word65 word53 word102 word257 word472 word486 word451 word380 word230 word388 word135 word332 word5 word452 word486 word368 word88 word130 word370 word250 word274 word203 word418 word83 word221 word112 word346 word143 word150 word87 word432 word109 word435 word459 word483 word172 word328 word414 word40 word33 word104 word491 word45 word383 word420 word454 word265 word263 word372 word318,positiva,positiva
word457 word498 word201 word215 word305 word216 word140 word354 word226 word471 word110 word222 word266 word454 word290 word35 word169 word444 word137 word171 word76 word360 word70 word184 word356 word448 word111 word167 word59 word219 word500 word153 word130 word200 word449 word274 word305 word391 word358 word300 word281 word267 word91 word208 word424 word20 word414 word283 word175 word58 word382 word1 word272 word82 word455 word92 word402 word288 word21 word361 word440 word111 word485 word400 word372 word169 word60 word215 word404 word294 word324 word391 word170 word19 word443 word307 word283 word287 word427 word385 word336 word392,neutra,neutra
word472 word270 word80 word374 word101 word419 word301 word178 word490 word258 word193 word95 word325 word135 word77 word60 word321 word461 word127 word109 word307 word72 word45 word319 word263 word15 word119 word100 word341 word333 word374 word50 word425 word105 word497 word436 word230 word393 word336 word387 word10 word42 word453 word391 word308 word157 word211 word197 word218 word315 word379 word192 word417 word46 word404 word339 word256 word188 word186 word181 word473 word14 word318 word495 word272 word320 word300 word253 word315 word452 word357 word425 word277 word387 word438 word106 word430 word344 word222 word388 word85 word350 word289 word445 word311 word263 word262 word278 word446 word393 word47 word267 word144 word83 word433 word429 word470,neutra,neutra
word40 word126 word333 word307 word492 word450 word406 word1 word302 word115 word134 word105 word228 word62 word266 word84 word251 word313 word90 word52 word404 word370 word131 word444 word111 word464 word57 word331 word10 word99 word203 word43 word229 word117 word50 word481 word491 word482 word78 word191 word164 word163 word209 word256 word243 word146 word490 word490 word166 word111 word267 word185 word494 word215 word20 word63 word38 word192 word159 word429 word446 word71 word473 word293 word154 word204 word221 word86,negativa,negativa
word474 word294 word224 word371 word86 word149 word275 word101 word249 word428 word392 word446 word431 word167 word357 word187 word486 word89 word135 word471 word120 word310 word146 word143 word336 word398 word117 word492 word45 word51 word489 word28 word158 word61 word112 word38 word180 word148 word80 word360 word18 word238 word153 word326 word169 word237 word406 word73 word218 word282 word369 word269 word368 word398 word395 word308 word460 word12 word250 word402 word52 word410 word20 word394 word94 word334 word415 word408 word288 word455 word71 word119 word67 word360 word446 word466 word261 word67 word86 word314 word449 word494 word361 word441 word239 word99 word233 word50 word337 word165,positiva,positiva
word275 word48 word444 word334 word448 word307 word454 word434 word108 word87 word81 word400 word121 word226 word394 word215 word31 word181 word48 word193 word369 word260 word338 word54 word376 word213 word144 word326 word68 word250 word212 word83 word477 word182 word21 word222 word484 word335 word319 word451 word42 word276 word161 word339 word427 word39 word80 word478 word246 word158 word77 word178 word3 word112 word92 word43 word485 word396 word471 word121 word145 word142 word280 word91 word118 word488 word177 word391 word115 word465 word347 word431 word259 word454 word182 word240 word31 word86 word386 word164 word52 word147 word177 word359 word46 word13 word363 word72 word210,neutra,neutra
word60 word283 word135 word271 word394 word461 word128 word332 word213 word252 word81 word429 word85 word20 word379 word203 word34 word341 word143 word489 word491 word276 word238 word223 word304 word455 word321 word50 word99 word315 word185 word240 word201 word298 word116 word37 word117 word334 word304 word405 word55 word71 word65 word282 word287 word80 word225 word26 word306 word285 word14 word45 word353 word450 word425 word284 word263 word405 word421 word454 word200 word239 word40 word88 word189 word405 word224 word294 word433 word238 word168 word366 word158 word195 word445 word219 word126 word418 word322 word384 word164 word391 word476 word82 word95 word283 word362 word1 word276 word64 word490,positiva,positiva
word128 word20 word427 word421 word278 word175 word108 word154 word464 word45 word412 word153 word133 word405 word481 word496 word134 word296 word147 word97 word193 word32 word83 word298 word344 word136 word279 word383 word448 word285 word121 word357 word86 word70 word180 word165 word74 word27 word474 word339 word359,neutra,neutra
word243 word88 word207 word128 word263 word118 word200 word454 word42 word382 word40 word229 word335 word478 word126 word27 word376 word447 word283 word31 word251 word196 word226 word28 word159 word500 word23 word458 word259 word293 word467 word109 word493 word139 word175 word225 word301 word162 word397 word11 word334 word329 word268 word307 word374 word453 word110 word239 word282 word173 word487 word256 word297 word98 word208 word313 word215 word386 word69 word77 word170 word160 word408 word434 word236 word253 word148 word266 word354 word362 word485 word289 word171 word35 word344 word402 word277 word462 word159 word27 word317 word61 word43 word351 word218 word303 word374 word192 word306 word270 word291 word352 word191 word253 word296 word71 word106 word45 word100 word220,neutra,neutra
word364 word402 word176 word374 word247 word330 word195 word89 word415 word109 word94 word444 word469 word305 word291 word181 word306 word305 word259 word328 word278 word440 word334 word193,neutra,neutra
word22 word146 word218 word65 word348 word302 word351 word212 word466 word336 word461 word44 word334 word173 word97 word91 word99 word47 word228 word387 word232 word66 word354 word88 word435 word184 word1 word147,positiva,neutra
word263 word430 word39 word369 word123 word254 word442 word247 word19 word11 word369 word466 word146 word468 word227 word30 word266 word487 word126 word481 word326 word199 word347 word201,negativa,negativa
word324 word412 word43 word380 word406 word358 word293 word450 word327 word424 word91 word333 word219 word435 word441 word422 word108 word247 word1 word490 word129 word313 word244 word453 word411 word389 word322 word60 word460 word32 word228 word190 word196 word489 word116 word290 word110 word456 word369 word208 word41 word77 word122 word204 word443 word60 word289 word174 word24 word310 word353 word480 word254 word163 word428 word124 word342 word472 word3 word463 word103 word241 word129 word73 word352 word242 word255 word242 word374 word484 word257 word78 word164 word249 word52 word115 word102 word487 word201 word440 word276 word254 word470 word346 word120 word141 word334 word2 word77 word38 word357 word221 word6 word371 word328 word360 word82,neutra,neutra
word299 word278 word75 word317 word421 word53 word362 word71 word375 word210 word4 word484 word83 word299 word91 word467 word370 word403 word217 word234 word318 word393,negativa,negativa
word58 word300 word147 word200 word119 word103 word222 word460 word318 word175 word217 word265 word123 word261 word348 word122 word293 word355 word260 word146 word278 word397 word111 word288 word341 word161 word194 word445 word182 word300 word75 word463 word299 word381 word302 word178 word171 word351 word430 word64 word423 word416 word55 word55 word348 word422 word197 word321 word500 word162 word113 word496 word141 word237 word222 word262 word135 word340 word346 word101 word241 word29 word111 word494 word254 word312 word445 word357 word397 word357 word250 word317 word145 word446 word90 word443 word440 word72 word356 word495 word287 word171 word440 word257 word61 word125 word342 word228 word109 word400 word61 word110 word233,negativa,negativa
word378 word304 word89 word184 word331 word59 word177 word437 word221 word255 word341 word161 word414 word9 word237 word299 word120 word392 word40 word326 word317 word394 word104 word78 word291 word486 word393 word106 word204 word134 word390 word257 word219 word3 word317 word222 word20 word98 word364 word375 word247 word379 word370 word308 word105 word211 word409,positiva,positiva
word207 word275 word217 word405 word496 word218 word361 word28 word201 word436 word344 word264 word107 word405 word486 word197 word405 word295 word199 word166 word252 word205 word309 word74 word239 word371 word423 word141 word301 word151 word395 word178 word337 word217 word134 word289 word312 word342 word396 word338 word426 word212 word255 word241 word290 word71 word428 word261 word277 word439 word233 word231 word283 word470 word127 word78 word54 word369 word6 word354 word443 word341 word86 word332 word222 word12 word99 word372 word281 word250 word389 word263 word485 word26 word144 word95 word207,positiva,positiva
word284 word328 word477 word243 word463 word284 word108 word327 word96 word450 word77 word250 word410 word5 word246 word254 word170 word337 word163 word188 word138 word313 word442 word89 word205 word113 word123 word486 word356 word473 word318 word334 word358 word327 word411 word164 word51 word245 word1 word24 word26 word39 word354 word299 word468 word145 word166 word246 word391 word466 word365 word254 word490 word91 word236 word124 word84 word199 word383 word160 word410 word306 word354 word122 word432 word102 word186 word392 word346 word150 word132 word217 word224 word30 word122 word78,neutra,neutra
word32 word338 word465 word433 word203 word249 word82 word36 word383 word215 word249 word172 word157 word493 word409 word346 word195 word361 word170 word258 word73 word355 word31 word362,neutra,neutra
word457 word247 word157 word238 word165 word167 word273 word499 word205 word108 word381 word148 word269 word127 word106 word126 word179 word478 word336 word348 word27 word6 word172 word444 word9 word384 word411 word139 word59 word77 word39,positiva,positiva
word235 word217 word445 word112 word156 word92 word286 word403 word442 word114 word215 word369 word23 word356 word68 word17 word57 word441 word341 word395 word346 word399 word249 word405 word29 word292 word378 word497 word180 word90 word361 word37 word389 word353 word346 word147 word61 word305 word182 word196 word94 word167 word416 word447 word175 word72,neutra,neutra
word254 word245 word320 word351 word52 word285 word20 word256 word212 word103 word496 word130 word29 word180 word379 word5 word247 word209 word433 word2 word9 word283 word90 word353 word140 word282 word19 word347 word260 word1 word133 word30 word23 word350 word214 word402 word129 word359 word308 word332 word415 word354 word373 word370 word224 word363 word422 word370 word304 word38 word219 word32 word52 word181,neutra,neutra
word51 word36 word312 word464 word249 word77 word257 word242 word297 word217 word267 word163 word454 word269 word156 word2 word340 word191 word125 word240 word243 word402 word272 word351 word324 word425 word4,neutra,neutra
word27 word12 word82 word445 word229 word74 word453 word415 word74 word345 word166 word35 word32 word272 word422 word481 word353 word462 word118 word74 word56 word87 word377 word77 word217 word379 word464 word81 word94 word33 word57 word196 word158 word484 word223 word155 word235 word363 word169 word72 word211 word311 word159 word291 word163 word453 word444 word359 word419 word61 word327 word203 word389 word1 word94 word121 word279 word486 word449,positiva,positiva
word434 word386 word298 word186 word236 word272 word241 word431 word84 word42 word227 word104 word411 word425 word495 word194 word481 word51 word482 word124 word10 word413 word258 word207 word101 word208 word308 word72 word473 word362 word439 word23 word434 word433 word183 word285 word251 word414 word141 word460 word277 word1 word152 word72 word405 word205 word233 word176 word351 word497 word437 word495 word150 word333 word312 word152 word423 word460 word476 word494 word82 word74 word341 word363 word218 word82 word143 word65 word79 word94 word293 word257 word168 word272 word334 word49 word141 word101 word1 word59 word384 word438 word81 word384 word127 word70 word118 word460 word172 word371 word243 word218 word407 word496 word326 word425 word73,positiva,positiva
word267 word223 word261 word423 word95 word250 word121 word53 word347 word353 word426 word11 word89 word288 word407 word471 word395 word453 word408 word158 word291 word318 word176 word443 word386 word259 word240 word397 word111 word110 word202 word64 word229 word217 word253 word231 word449 word138 word206 word370 word143 word329 word482 word188 word121 word96 word6 word143 word425 word128 word478 word477 word342 word491 word204 word479 word272 word41 word417 word476 word443 word209 word52 word293 word434 word421 word309 word394 word17 word312 word55,positiva,positiva
word380 word460 word332 word190 word475 word249 word265 word318 word328 word247 word240 word159 word341 word337 word219 word357 word69 word209 word494 word367 word361 word432 word305 word332 word241 word414 word356 word262 word64,neutra,neutra
word167 word276 word143 word155 word233 word26 word108 word405 word83 word312 word383 word132 word230 word439 word418 word461 word315 word444 word200 word301 word334 word489 word185 word438 word255 word53 word328 word491 word227 word275 word464 word461 word201 word381 word316 word324 word361 word164 word153 word14 word429 word139 word338 word343 word352 word432 word434 word2 word421 word104 word323 word337 word27 word142 word456 word71 word116 word41 word84 word319 word421 word298 word143 word430 word184 word158 word253 word69 word179 word400 word305 word495 word388 word181 word384 word433 word316 word382 word252 word456 word119 word213 word127 word51 word308 word60 word114 word382 word121 word432 word25 word229 word34 word30,neutra,neutra
word271 word77 word188 word80 word396 word392 word97 word402 word161 word365 word470 word415 word94 word91 word57 word421 word274 word78 word294 word265 word299 word318 word83 word194 word361 word455 word122 word286 word475 word301 word114 word292 word9 word245 word284 word29 word102 word495 word315 word230 word115 word63 word215 word273 word90 word401 word215 word28 word69 word431 word169 word187 word100 word404 word409,positiva,positiva
word305 word260 word178 word326 word312 word6 word205 word432 word398 word428 word478 word31 word136 word230 word256 word394 word363 word354 word80 word339 word398 word377 word292 word45 word75 word372 word435 word413 word214 word294 word89,neutra,neutra
word194 word381 word477 word105 word176 word439 word157 word123 word416 word246 word292 word244 word302 word135 word366 word181 word262 word93 word6 word286 word70 word457 word480 word159 word145 word255 word103 word431 word51,neutra,neutra
word7 word35 word137 word72 word31 word192 word189 word63 word406 word442 word360 word262 word474 word176 word214 word8 word354 word47 word333 word392 word109 word307 word152 word200 word265 word125 word399 word198 word231 word408 word114 word227 word497 word200 word58 word143 word478 word380 word405 word127 word420 word197 word398 word441 word105 word470 word317 word366 word379 word85 word373 word107 word136 word59 word91 word490 word165 word194 word240 word357 word287 word269 word419 word248 word385 word456 word339 word18 word132 word309 word240 word143 word168 word40 word118 word392 word6 word419 word170 word404 word129 word415 word286 word426 word32 word399 word136 word180 word23 word478,negativa,negativa
word85 word221 word494 word332 word500 word10 word360 word38 word306 word163 word389 word63 word449 word241 word260 word286 word18 word156 word355 word481 word493 word268 word130 word239 word232 word199 word181 word435 word196 word15 word361 word333 word190 word315 word471 word463 word395 word292 word14 word257 word410 word423 word387 word494 word259 word55 word249 word160 word418 word389 word213 word195 word80 word22 word157 word121 word133 word500 word341 word276 word90 word421 word323 word258 word233 word277 word420 word361 word243 word334 word465 word164 word451 word304 word93 word484 word344 word193 word108 word458 word412 word23 word318 word58 word148 word285 word125 word257 word215 word291 word401,neutra,neutra
word412 word254 word247 word267 word422 word206 word92 word257 word317 word468 word57 word472 word403 word356 word118 word104 word214 word92 word328 word377 word240 word346 word390 word457 word345 word117 word66 word471 word387 word425 word212 word79 word299 word320 word109 word235 word212 word130 word409 word243 word464 word1 word470 word331 word351 word144 word40 word116 word222 word169 word97 word7 word349 word334 word81 word392 word489 word500 word98 word214 word27,positiva,positiva
word225 word254 word86 word233 word62 word473 word294 word18 word253 word464 word372 word137 word447 word93 word124 word78 word462 word359 word259 word334 word130 word36 word423 word483 word18 word26 word280 word22 word361 word473 word140 word148 word432 word179 word121 word43 word420 word463 word40 word402 word80 word70 word191 word219 word428 word350 word73 word293 word438 word332 word115 word65 word227 word237 word177 word55 word60 word265 word473 word299,negativa,negativa
word262 word496 word277 word322 word106 word374 word410 word340 word250 word99 word17 word314 word342 word387 word476 word249 word415 word359 word139 word423 word27 word300 word471 word330 word469 word29 word267 word391 word322 word441 word232 word342 word210 word437 word60 word128 word49 word352 word117 word159 word419 word181 word73 word11 word114 word458 word275 word498 word108 word176 word82 word200 word282 word405 word185 word386 word314 word146 word457 word218 word76 word482 word457 word25 word452 word474 word415 word128 word316 word270 word311 word309,negativa,negativa
word79 word225 word154 word497 word18 word429 word141 word19 word331 word340 word72 word20 word56 word205 word67 word352 word39 word395 word438 word359 word473 word470 word24 word171 word381 word170 word369 word388 word499 word165 word174 word13 word143 word141 word227 word211 word429 word387 word365 word3 word236 word365 word123 word213 word364 word398 word428 word215 word200 word192 word335 word210 word201 word85 word240 word119 word263 word445 word388 word240 word489 word491 word223 word382 word172 word440 word187 word130 word67 word422 word149 word407 word44 word251 word214,negativa,negativa
word370 word140 word78 word224 word14 word316 word283 word257 word16 word382 word18 word132 word198 word352 word204 word409 word468 word383 word20 word386 word104 word445 word490 word43 word50,negativa,negativa
word264 word451 word382 word212 word168 word357 word138 word442 word391 word342 word125 word311 word411 word36 word89 word258 word180 word355 word201 word499 word150 word181 word2 word124 word118 word382 word169 word102 word157 word282 word393 word490 word24 word421 word195 word405 word19 word314 word466 word20 word396 word58 word492 word373 word456 word449 word158 word208 word346 word88 word154 word50 word445 word124 word206 word227 word188,neutra,neutra
word229 word64 word12 word379 word52 word159 word422 word269 word437 word437 word331 word469 word19 word121 word139 word456 word311 word127 word105 word403 word430 word8 word183 word268 word118 word363 word379 word420 word394 word421 word183 word150 word159 word427 word325 word162 word361 word117 word134 word1 word484 word118 word377 word60 word19 word338 word50 word73 word166 word293 word10 word64 word169 word353 word49 word143 word97 word155 word129 word321 word34 word470 word123 word496 word365 word179 word152 word474 word499 word307 word24 word454 word239 word14 word401 word17 word186 word38 word219 word403 word65 word69 word479 word89 word57 word293 word139 word479 word82 word284 word461 word367 word15 word94 word63 word458 word101 word28 word192,positiva,positiva
word33 word265 word207 word392 word99 word479 word397 word371 word248 word322 word104 word5 word373 word225 word177 word135 word311 word257 word338 word476 word418 word161 word121 word81 word285 word413 word127 word496 word215 word391 word150 word70 word257 word276 word240 word203 word325 word317 word76 word335 word167 word404 word249 word121 word91 word483 word360 word108 word251 word63 word418 word415 word402 word232 word83 word246 word256 word160 word189 word24 word262 word97 word421 word381 word302 word113 word334 word497 word316 word394 word451 word425 word82 word437 word383 word360 word114 word234 word452 word459 word58 word214 word304 word48 word124 word299 word329 word53,positiva,positiva
word204 word106 word488 word372 word350 word326 word309 word441 word196 word71 word148 word115 word479 word284 word214 word13 word356 word324 word406 word66 word329 word181 word117 word112 word144 word367 word12 word474 word485 word484 word418 word162 word203 word64 word447 word386 word77 word496 word22 word384 word68 word375 word442 word476 word81 word83 word35 word412,positiva,positiva
word325 word394 word90 word127 word399 word47 word221 word126 word7 word226 word244 word174 word407 word49 word215 word91 word380 word279 word353 word54 word229 word26 word162 word473 word364 word40 word185,neutra,neutra
word313 word61 word130 word377 word478 word456 word376 word491 word83 word101 word203 word461 word400 word186 word9 word310 word155 word112 word108 word125 word160 word310 word82 word243 word461 word483 word415 word133 word74 word440 word202 word231 word214 word68 word361 word120 word117 word378 word357 word414 word354 word20 word209 word206 word161 word248 word249 word308 word480 word326 word467 word416 word368 word137 word289 word56 word462 word94 word120,neutra,negativa
word203 word200 word269 word320 word230 word443 word482 word101 word354 word151 word498 word127 word148 word358 word395 word65 word278 word173 word306 word279 word493 word467 word327 word340 word450 word92 word363 word387 word64 word441 word350 word174 word243 word245 word460 word485 word404 word327 word53 word458 word67 word84 word35 word474 word247 word118 word41 word206 word362 word498 word277 word304 word418 word451 word140 word496 word260 word466 word59 word49 word443 word337 word88 word448 word52 word342 word103 word36 word404 word424 word53 word47 word308 word15 word374 word458 word376 word116 word96 word341 word31 word269 word225 word373 word102 word382 word350 word120 word179 word34 word225 word131 word57 word280 word284 word43 word93 word42 word340 word170,negativa,negativa
word138 word447 word202 word44 word2 word491 word322 word75 word496 word21 word168 word375 word27 word453 word340 word475 word419 word413 word114 word103 word122 word78 word333 word30 word215 word291 word270 word244 word112 word55 word495 word233 word298 word284 word185 word362 word189 word208 word402 word160 word350 word333 word16 word343 word401 word136 word458 word10 word90 word473 word428 word378 word302 word101 word245 word283 word45 word298 word45 word63 word86 word96 word42 word479 word402 word255 word185 word96 word475 word399 word376 word236 word14 word320 word244 word149 word158 word29 word436 word83 word407 word487 word23 word312 word34 word416 word254 word11 word387 word383 word463 word243 word467 word333 word263 word180 word147 word311,neutra,neutra
word286 word336 word405 word318 word306 word396 word148 word415 word363 word92 word74 word440 word448 word497 word51 word448 word432 word384 word249 word255 word215 word15 word251 word119 word101 word28 word229 word24 word425 word445 word401 word151 word82 word253 word337 word11 word429 word220 word410 word39 word213 word230 word25 word354 word466 word271 word198 word319 word181 word180 word380 word296 word132 word204 word418 word265 word39 word429 word371 word134 word483 word476 word498 word189 word462 word404 word436 word274 word140 word114 word484 word252 word464 word278 word268 word37 word202 word279 word55 word82 word296 word125 word351 word231 word202 word59 word204 word272 word287 word136 word14 word468 word479 word453 word145 word302 word71 word453 word3 word236,negativa,negativa
word315 word147 word497 word164 word140 word362 word499 word429 word91 word408 word177 word111 word468 word475 word186 word14 word105 word271 word30 word114 word75 word477 word178 word191 word211 word7 word272 word457 word407 word126 word7 word387 word421 word461 word289 word237 word379 word346 word379 word143 word452 word19 word47 word328 word286 word278 word455 word436 word360 word83 word49 word70 word307 word357 word400 word52 word138 word170 word317 word24 word421 word41 word262 word467 word98 word344 word275 word410 word295 word425 word202 word82 word340 word484 word217 word410 word439,neutra,neutra
word65 word174 word475 word75 word52 word262 word13 word496 word452 word95 word87 word389 word261 word412 word484 word201 word127 word310 word318 word217 word150 word132 word261 word214 word229 word48 word441 word354 word460 word415 word310 word154 word327 word284 word462 word117 word13 word64 word88 word332 word74 word68 word199 word391 word213 word136 word143 word410 word217 word185 word387 word185 word179 word376 word164 word256 word333 word101 word65 word426 word149 word171 word295 word52 word23 word209 word485 word287 word290 word305 word431 word418 word13 word271 word274 word112 word488 word131 word417 word51 word301 word368 word253 word53 word62 word303 word432 word299 word51 word393,neutra,neutra
word387 word328 word220 word217 word430 word43 word349 word101 word48 word264 word488 word368 word381 word359 word394 word257 word65 word420 word226 word251 word186 word92 word464 word391 word322 word202 word412,negativa,negativa
